Year,Lastname,Firstname,Age,BirthYear,LifeExpectancy,Exceeded
1861,Lincoln,Abraham,52.76933607118412,1809,39.95999946594238,12.80933660524174
1862,Lincoln,Abraham,53.76865160848734,1809,39.95999946594238,13.808652142544958
1863,Lincoln,Abraham,54.76796714579056,1809,39.95999946594238,14.807967679848176
1864,Lincoln,Abraham,55.7700205338809,1809,39.95999946594238,15.810021067938521
1865,Johnson,Andrew,56.89253935660506,1808,40.11999969482422,16.77253966178084
1866,Johnson,Andrew,57.89185489390828,1808,40.11999969482422,17.771855199084058
1867,Johnson,Andrew,58.8911704312115,1808,40.11999969482422,18.771170736387276
1868,Johnson,Andrew,59.893223819301845,1808,40.11999969482422,19.773224124477622
1869,Grant,Ulysses S.,47.56741957563313,1822,40.1,7.46741957563313
1870,Grant,Ulysses S.,48.56673511293634,1822,40.1,8.466735112936341
1871,Grant,Ulysses S.,49.56605065023956,1822,40.1,9.46605065023956
1872,Grant,Ulysses S.,50.56810403832991,1822,40.1,10.468104038329912
1873,Grant,Ulysses S.,51.56741957563313,1822,40.1,11.46741957563313
1874,Grant,Ulysses S.,52.56673511293634,1822,40.1,12.466735112936341
1875,Grant,Ulysses S.,53.56605065023956,1822,40.1,13.46605065023956
1876,Grant,Ulysses S.,54.56810403832991,1822,40.1,14.468104038329912
1877,Hayes,Rutherford B.,55.12936344969199,1822,40.1,15.029363449691992
1878,Hayes,Rutherford B.,56.12867898699521,1822,40.1,16.02867898699521
1879,Hayes,Rutherford B.,57.12799452429842,1822,40.1,17.02799452429842
1880,Hayes,Rutherford B.,58.130047912388775,1822,40.1,18.030047912388774
1881,Arthur,Chester A.,52.12594113620808,1829,40.45,11.675941136208074
1882,Arthur,Chester A.,53.125256673511295,1829,40.45,12.675256673511292
1883,Arthur,Chester A.,54.12457221081451,1829,40.45,13.67457221081451
1884,Arthur,Chester A.,55.12662559890486,1829,40.45,14.676625598904856
1885,Cleveland,Grover,48.67624914442163,1837,39.30999946594238,9.36624967847925
1886,Cleveland,Grover,49.67556468172484,1837,39.30999946594238,10.36556521578246
1887,Cleveland,Grover,50.67488021902806,1837,39.30999946594238,11.364880753085679
1888,Cleveland,Grover,51.676933607118414,1837,39.30999946594238,12.366934141176031
1889,Harrison,Benjamin,56.251882272416154,1833,39.989999771118164,16.26188250129799
1890,Harrison,Benjamin,57.25119780971937,1833,39.989999771118164,17.261198038601208
1891,Harrison,Benjamin,58.25051334702259,1833,39.989999771118164,18.260513575904426
1892,Harrison,Benjamin,59.252566735112936,1833,39.989999771118164,19.26256696399477
1893,Cleveland,Grover,56.67624914442163,1837,39.30999946594238,17.36624967847925
1894,Cleveland,Grover,57.67556468172484,1837,39.30999946594238,18.36556521578246
1895,Cleveland,Grover,58.67488021902806,1837,39.30999946594238,19.36488075308568
1896,Cleveland,Grover,59.676933607118414,1837,39.30999946594238,20.36693414117603
1897,McKinley,William,54.809034907597535,1843,38.199999237060545,16.60903567053699
1898,McKinley,William,55.80835044490075,1843,38.199999237060545,17.608351207840208
1899,McKinley,William,56.80766598220397,1843,38.199999237060545,18.607666745143426
1900,McKinley,William,57.80698151950719,1843,38.199999237060545,19.606982282446644
1901,Roosevelt,Theodore,43.063655030800824,1858,35.43999862670898,7.623656404091847
1902,Roosevelt,Theodore,44.062970568104035,1858,35.43999862670898,8.622971941395058
1903,Roosevelt,Theodore,45.06228610540725,1858,35.43999862670898,9.622287478698276
1904,Roosevelt,Theodore,46.064339493497606,1858,35.43999862670898,10.624340866788629
1905,Roosevelt,Theodore,47.063655030800824,1858,35.43999862670898,11.623656404091847
1906,Roosevelt,Theodore,48.062970568104035,1858,35.43999862670898,12.622971941395058
1907,Roosevelt,Theodore,49.06228610540725,1858,35.43999862670898,13.622287478698276
1908,Roosevelt,Theodore,50.064339493497606,1858,35.43999862670898,14.624340866788629
1909,Taft,William Howard,52.17796030116359,1857,35.60999870300292,16.567961598160664
1910,Taft,William Howard,53.177275838466805,1857,35.60999870300292,17.567277135463883
1911,Taft,William Howard,54.17659137577002,1857,35.60999870300292,18.5665926727671
1912,Taft,William Howard,55.17864476386037,1857,35.60999870300292,19.568646060857446
1913,Wilson,Woodrow,56.89253935660506,1856,35.77999877929687,21.112540577308195
1914,Wilson,Woodrow,57.89185489390828,1856,35.77999877929687,22.111856114611413
1915,Wilson,Woodrow,58.8911704312115,1856,35.77999877929687,23.11117165191463
1916,Wilson,Woodrow,59.893223819301845,1856,35.77999877929687,24.113225040004977
1917,Wilson,Woodrow,60.89253935660506,1856,35.77999877929687,25.112540577308195
1918,Wilson,Woodrow,61.89185489390828,1856,35.77999877929687,26.111856114611413
1919,Wilson,Woodrow,62.8911704312115,1856,35.77999877929687,27.11117165191463
1920,Wilson,Woodrow,63.893223819301845,1856,35.77999877929687,28.113225040004977
1921,Harding,Warren G.,56.04654346338125,1865,39.54999923706055,16.4965442263207
1922,Harding,Warren G.,57.045859000684466,1865,39.54999923706055,17.49585976362392
1923,Coolidge,Calvin,51.37577002053388,1872,44.61999969482422,6.755770325709655
1924,Coolidge,Calvin,52.37782340862423,1872,44.61999969482422,7.757823713800008
1925,Coolidge,Calvin,53.37713894592745,1872,44.61999969482422,8.757139251103226
1926,Coolidge,Calvin,54.37645448323067,1872,44.61999969482422,9.756454788406444
1927,Coolidge,Calvin,55.37577002053388,1872,44.61999969482422,10.755770325709655
1928,Coolidge,Calvin,56.37782340862423,1872,44.61999969482422,11.757823713800008
1929,Hoover,Herbert,55.27720739219713,1874,45.23999938964843,10.037208002548695
1930,Hoover,Herbert,56.276522929500345,1874,45.23999938964843,11.036523539851913
1931,Hoover,Herbert,57.275838466803556,1874,45.23999938964843,12.035839077155124
1932,Hoover,Herbert,58.27789185489391,1874,45.23999938964843,13.037892465245477
1933,Roosevelt,Franklin D.,51.80287474332649,1882,47.57999877929687,4.222875964029619
1934,Roosevelt,Franklin D.,52.80219028062971,1882,47.57999877929687,5.222191501332837
1935,Roosevelt,Franklin D.,53.80150581793292,1882,47.57999877929687,6.221507038636048
1936,Roosevelt,Franklin D.,54.80355920602327,1882,47.57999877929687,7.223560426726401
1937,Roosevelt,Franklin D.,55.80287474332649,1882,47.57999877929687,8.222875964029619
1938,Roosevelt,Franklin D.,56.80219028062971,1882,47.57999877929687,9.222191501332837
1939,Roosevelt,Franklin D.,57.80150581793292,1882,47.57999877929687,10.221507038636048
1940,Roosevelt,Franklin D.,58.80355920602327,1882,47.57999877929687,11.2235604267264
1941,Roosevelt,Franklin D.,59.80287474332649,1882,47.57999877929687,12.222875964029619
1942,Roosevelt,Franklin D.,60.80219028062971,1882,47.57999877929687,13.222191501332837
1943,Roosevelt,Franklin D.,61.80150581793292,1882,47.57999877929687,14.221507038636048
1944,Roosevelt,Franklin D.,62.80355920602327,1882,47.57999877929687,15.2235604267264
1945,Truman,Harry S.,61.53319644079398,1884,48.05999908447265,13.473197356321329
1946,Truman,Harry S.,62.53251197809719,1884,48.05999908447265,14.47251289362454
1947,Truman,Harry S.,63.53182751540041,1884,48.05999908447265,15.471828430927758
1948,Truman,Harry S.,64.53388090349075,1884,48.05999908447265,16.473881819018104
1949,Truman,Harry S.,65.53319644079397,1884,48.05999908447265,17.47319735632132
1950,Truman,Harry S.,66.53251197809719,1884,48.05999908447265,18.47251289362454
1951,Truman,Harry S.,67.53182751540041,1884,48.05999908447265,19.471828430927758
1952,Truman,Harry S.,68.53388090349075,1884,48.05999908447265,20.473881819018104
1953,Eisenhower,Dwight D.,63.09924709103354,1890,49.5,13.59924709103354
1954,Eisenhower,Dwight D.,64.09856262833675,1890,49.5,14.598562628336751
1955,Eisenhower,Dwight D.,65.09787816563997,1890,49.5,15.597878165639969
1956,Eisenhower,Dwight D.,66.09993155373031,1890,49.5,16.599931553730315
1957,Eisenhower,Dwight D.,67.09924709103353,1890,49.5,17.599247091033533
1958,Eisenhower,Dwight D.,68.09856262833675,1890,49.5,18.59856262833675
1959,Eisenhower,Dwight D.,69.09787816563997,1890,49.5,19.59787816563997
1960,Eisenhower,Dwight D.,70.09993155373031,1890,49.5,20.599931553730315
1961,Kennedy,John F.,44.479123887748116,1917,52.18000030517578,-7.700876417427665
1962,Kennedy,John F.,45.478439425051334,1917,52.18000030517578,-6.701560880124447
1963,Kennedy,John F.,46.47775496235455,1917,52.18000030517578,-5.702245342821229
1964,Johnson,Lyndon B.,56.23271731690623,1908,50.22000122070313,6.0127160962031
1965,Johnson,Lyndon B.,57.23203285420944,1908,50.22000122070313,7.012031633506311
1966,Johnson,Lyndon B.,58.23134839151266,1908,50.22000122070313,8.011347170809529
1967,Johnson,Lyndon B.,59.23066392881588,1908,50.22000122070313,9.010662708112747
1968,Johnson,Lyndon B.,60.23271731690623,1908,50.22000122070313,10.0127160962031
1969,Nixon,Richard,56.86242299794661,1913,51.72000122070313,5.142421777243477
1970,Nixon,Richard,57.86173853524983,1913,51.72000122070313,6.141737314546695
1971,Nixon,Richard,58.861054072553046,1913,51.72000122070313,7.1410528518499135
1972,Nixon,Richard,59.8631074606434,1913,51.72000122070313,8.143106239940266
1973,Nixon,Richard,60.86242299794661,1913,51.72000122070313,9.142421777243477
1974,Ford,Gerald,61.35249828884326,1913,51.72000122070313,9.632497068140125
1975,Ford,Gerald,62.351813826146476,1913,51.72000122070313,10.631812605443344
1976,Ford,Gerald,63.35386721423682,1913,51.72000122070313,11.63386599353369
1977,Carter,Jimmy,53.13620807665982,1924,57.15000152587891,-4.013793449219094
1978,Carter,Jimmy,54.13552361396304,1924,57.15000152587891,-3.0144779119158756
1979,Carter,Jimmy,55.134839151266256,1924,57.15000152587891,-2.0151623746126575
1980,Carter,Jimmy,56.1368925393566,1924,57.15000152587891,-1.0131089865223117
1981,Reagan,Ronald,70.78713210130049,1911,51.79999923706055,18.98713286423994
1982,Reagan,Ronald,71.78644763860369,1911,51.79999923706055,19.986448401543143
1983,Reagan,Ronald,72.78576317590691,1911,51.79999923706055,20.98576393884636
1984,Reagan,Ronald,73.78781656399727,1911,51.79999923706055,21.98781732693672
1985,Reagan,Ronald,74.78713210130049,1911,51.79999923706055,22.98713286423994
1986,Reagan,Ronald,75.78644763860369,1911,51.79999923706055,23.986448401543143
1987,Reagan,Ronald,76.78576317590691,1911,51.79999923706055,24.98576393884636
1988,Reagan,Ronald,77.78781656399727,1911,51.79999923706055,25.98781732693672
1989,Bush,George H. W.,65.44010951403149,1924,57.15000152587891,8.290107988152577
1990,Bush,George H. W.,66.43942505133471,1924,57.15000152587891,9.289423525455796
1991,Bush,George H. W.,67.43874058863791,1924,57.15000152587891,10.288739062759
1992,Bush,George H. W.,68.44079397672827,1924,57.15000152587891,11.29079245084936
1993,Clinton,Bill,47.25530458590007,1946,64.25,-16.99469541409993
1994,Clinton,Bill,48.25462012320329,1946,64.25,-15.995379876796711
1995,Clinton,Bill,49.2539356605065,1946,64.25,-14.9960643394935
1996,Clinton,Bill,50.25598904859685,1946,64.25,-13.994010951403148
1997,Clinton,Bill,51.25530458590007,1946,64.25,-12.99469541409993
1998,Clinton,Bill,52.25462012320329,1946,64.25,-11.995379876796711
1999,Clinton,Bill,53.2539356605065,1946,64.25,-10.9960643394935
2000,Clinton,Bill,54.25598904859685,1946,64.25,-9.994010951403148
2001,Bush,George W.,55.37577002053388,1946,64.25,-8.874229979466122
2002,Bush,George W.,56.375085557837096,1946,64.25,-7.874914442162904
2003,Bush,George W.,57.374401095140314,1946,64.25,-6.875598904859686
2004,Bush,George W.,58.37645448323067,1946,64.25,-5.873545516769333
2005,Bush,George W.,59.37577002053388,1946,64.25,-4.874229979466122
2006,Bush,George W.,60.375085557837096,1946,64.25,-3.874914442162904
2007,Bush,George W.,61.374401095140314,1946,64.25,-2.875598904859686
2008,Bush,George W.,62.37645448323067,1946,64.25,-1.8735455167693331
2009,Obama,Barack,48.29568788501027,1961,67.06999969482422,-18.774311809813952
2010,Obama,Barack,49.295003422313485,1961,67.06999969482422,-17.774996272510734
2011,Obama,Barack,50.2943189596167,1961,67.06999969482422,-16.775680735207516
2012,Obama,Barack,51.29637234770705,1961,67.06999969482422,-15.77362734711717
2013,Obama,Barack,52.29568788501027,1961,67.06999969482422,-14.774311809813952
2014,Obama,Barack,53.295003422313485,1961,67.06999969482422,-13.774996272510734
2015,Obama,Barack,54.2943189596167,1961,67.06999969482422,-12.775680735207516
2016,Obama,Barack,55.29637234770705,1961,67.06999969482422,-11.77362734711717
2017,Trump,Donald,71.43600273785079,1946,64.25,7.186002737850785
2018,Trump,Donald,72.435318275154,1946,64.25,8.185318275154003
2019,Trump,Donald,73.43463381245722,1946,64.25,9.184633812457221
2020,Trump,Donald,74.43668720054757,1946,64.25,10.186687200547567
2021,Biden,Joe,79.00068446269678,1942,62.58000183105469,16.420682631642094
